"ID";"ROOTID";"CRDA";"NAME";"ISSYSTEM";"CODE";"CATCODE";"EAN";"EANID";"CAT_ID";"TYPE_ID";"PATH_ID";"MAINPACK";"SINGLEPACK";"UNITS_ID";"STOCK_AVAL";"STOCK_LOCAL";"STOCK_EXT";"STOCK_UNAVAL";"STOCK_RES";"STOCK_EXP";"STOCK_ALARM";"STOCK_ORDER_ALARM";"STOCK_LOAD_ALARM";"STOCK_RESORDERS";"DESCR";"DELETED";"NEXTDELIVERY";"NEXTDELIVERYLOAD";"IMPCORP";"INSTORE";"INPLIST";"COSTPRICE";"COSTMATPRICE";"FIFOPRICE";"FIFOCASHID";"DFLTECPRICE";"YEAREXPCONS";"YEAREXPCONSBOM";"INSHOP";"HEATLVL";"HSCODE";"CORIGIN";"PREFORIGIN";"CYCLE";"COUNTRES";"SYSSTATUS";"POPULARITY"
10023;"NULL";"NULL";"adStand Premium 120 (bez wydruku)";"NULL";"NULL";"ADS-PRE-120-WP";"NULL";"NULL";19609;308;11943;1.00;1.00;116;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;"NULL";0.00;"Rollup reklamowy bez wydruku";"n";"NULL";"NULL";1;5;"y";328.73;289.11;0.0000;0;648.00;0.00;0.00;0;"NULL";"7616999099";"Chiny";"n";22322;"NULL";10;0
10027;"NULL";"NULL";"adTribune Hit (bez wydruku)";"NULL";"NULL";"ADT-HIT-WP";"NULL";"NULL";19624;308;11943;1.00;1.00;116;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;"NULL";0.00;"Trybunka reklamowa HIT bez wydruku";"n";"NULL";"NULL";1;5;"y";299.45;274.45;0.0000;0;"NULL";7.00;107.00;1;"NULL";"9403208000";"Chiny";"n";22322;"NULL";10;5
10030;"NULL";"NULL";"adTribune Standard";"NULL";"NULL";"ADT-STA";"NULL";"NULL";19624;308;132;1.00;1.00;116;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;"NULL";0.00;"Trybunka reklamowa aluminiowa Standard z wydrukiem na materiale tekstylnym";"n";"NULL";"NULL";1;5;"y";734.98;632.42;0.0000;0;1659.00;109.00;109.00;1;"NULL";"9403208000";"Polska";"n";22322;"NULL";10;109
10031;"NULL";"NULL";"adTribune Standard (bez wydruku)";"NULL";"NULL";"ADT-STA-WP";"NULL";"NULL";19624;308;11943;1.00;1.00;116;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;"NULL";0.00;"Trybunka reklamowa aluminiowa Standard bez wydruku";"n";"NULL";"NULL";1;5;"y";634.18;570.85;0.0000;0;"NULL";12.00;121.00;1;"NULL";"9403208000";"Chiny";"n";22322;"NULL";10;11
10033;"NULL";"NULL";"adStand L 100 (bez wydruku)";"NULL";"NULL";"ADS-L-100-WP";"NULL";"NULL";19609;308;11943;1.00;1.00;116;0.00;0.00;0.00;0.00;5.00;0.00;0.00;0.00;"NULL";0.00;"Rollup reklamowy bez wydruku";"n";"NULL";"NULL";1;5;"y";100.49;90.96;0.0000;0;160.00;0.00;82.00;0;"NULL";"7616999099";"Chiny";"n";22322;"NULL";10;0
10035;"NULL";"NULL";"adStand L 80 (bez wydruku)";"NULL";"NULL";"ADS-L-80-WP";"NULL";"NULL";19609;308;11943;1.00;1.00;116;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;"NULL";0.00;"Rollup reklamowy bez wydruku";"n";"NULL";"NULL";1;5;"y";117.26;107.85;0.0000;0;157.00;0.00;39.00;0;"NULL";"7616999099";"Chiny";"n";22322;"NULL";10;0
10037;"NULL";"NULL";"adStand L 60 (bez wydruku)";"NULL";"NULL";"ADS-L-60-WP";"NULL";"NULL";19609;308;11943;1.00;1.00;116;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;"NULL";0.00;"Rollup reklamowy bez wydruku";"n";"NULL";"NULL";1;5;"y";114.81;105.54;0.0000;0;155.00;3.00;48.00;0;"NULL";"7616999099";"Chiny";"n";22322;"NULL";10;1
10039;"NULL";"NULL";"adStand L 120";"NULL";"NULL";"ADS-L-120";"NULL";"NULL";19619;308;132;1.00;1.00;116;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;"NULL";0.00;"Rollup reklamowy z wydrukiem";"n";"NULL";"NULL";1;5;"y";203.67;160.47;0.0000;0;274.00;36.00;36.00;1;"NULL";"7616999099";"Polska";"n";22322;"NULL";10;56
10040;"NULL";"NULL";"adStand L 120 (bez wydruku)";"NULL";"NULL";"ADS-L-120-WP";"NULL";"NULL";19609;308;11943;1.00;1.00;116;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;"NULL";0.00;"Rollup reklamowy bez wydruku";"n";"NULL";"NULL";1;5;"y";146.54;136.89;0.0000;0;161.00;0.00;36.00;0;"NULL";"7616999099";"Chiny";"n";22322;"NULL";10;0
10041;"NULL";"NULL";"adStand L 150";"NULL";"NULL";"ADS-L-150";"NULL";"NULL";19619;308;132;1.00;1.00;116;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;"NULL";0.00;"Rollup reklamowy z wydrukiem";"n";"NULL";"NULL";1;5;"y";268.93;213.86;0.0000;0;362.00;26.00;26.00;1;"NULL";"7616999099";"Polska";"n";22322;"NULL";10;40
